k,regularization,iterations,Validation RMS,Testing RMS
4.0,0.1,15.0,0.93740505,Infinity
4.0,0.1,30.0,0.93727845,Infinity
4.0,0.2,15.0,0.9209594,Infinity
4.0,0.2,30.0,0.9205309,Infinity
4.0,0.3,15.0,0.94408804,Infinity
4.0,0.3,30.0,0.94375336,Infinity
7.0,0.1,15.0,0.9461033,Infinity
7.0,0.1,30.0,0.942453,Infinity
7.0,0.2,15.0,0.9198229,Infinity
7.0,0.2,30.0,0.9203698,Infinity
7.0,0.3,15.0,0.9434241,Infinity
7.0,0.3,30.0,0.94359416,Infinity
10.0,0.1,15.0,0.9415351,Infinity
10.0,0.1,30.0,0.93958193,Infinity
10.0,0.2,15.0,0.9191683,0.92236924
10.0,0.2,30.0,0.91995215,Infinity
10.0,0.3,15.0,0.94340694,Infinity
10.0,0.3,30.0,0.9435431,Infinity
13.0,0.1,15.0,0.9472266,Infinity
13.0,0.1,30.0,0.9467,Infinity
13.0,0.2,15.0,0.92074156,Infinity
13.0,0.2,30.0,0.92007333,Infinity
13.0,0.3,15.0,0.94404125,Infinity
13.0,0.3,30.0,0.9437987,Infinity
